,Datetime,Open,High,Low,Close,Volume,ScripName,ScripCode
358,2023-06-14T00:00:00,761.55,779.0,759.15,772.85,4758206,JSWSTEEL,11723
359,2023-06-15T00:00:00,778.0,778.0,768.5,770.6,2222061,JSWSTEEL,11723
360,2023-06-16T00:00:00,776.95,781.8,772.7,776.1,2285788,JSWSTEEL,11723
361,2023-06-19T00:00:00,780.5,782.0,767.85,771.65,1422461,JSWSTEEL,11723
362,2023-06-20T00:00:00,772.2,786.5,768.55,773.15,2282549,JSWSTEEL,11723
363,2023-06-21T00:00:00,773.15,774.0,752.05,758.75,2768203,JSWSTEEL,11723
364,2023-06-22T00:00:00,754.2,763.75,745.95,752.35,1972478,JSWSTEEL,11723
365,2023-06-23T00:00:00,750.0,758.7,743.85,746.5,1704679,JSWSTEEL,11723
366,2023-06-26T00:00:00,749.9,751.35,737.15,748.8,1602537,JSWSTEEL,11723
367,2023-06-27T00:00:00,750.0,765.0,749.05,762.5,2783577,JSWSTEEL,11723
368,2023-06-28T00:00:00,768.0,791.45,762.0,783.4,8340755,JSWSTEEL,11723
369,2023-06-30T00:00:00,786.3,789.0,780.0,784.8,2515440,JSWSTEEL,11723
370,2023-07-03T00:00:00,788.0,808.3,787.05,794.0,4781944,JSWSTEEL,11723
371,2023-07-04T00:00:00,798.0,802.75,789.3,796.65,2473106,JSWSTEEL,11723
372,2023-07-05T00:00:00,796.7,803.6,788.1,791.9,2526894,JSWSTEEL,11723
373,2023-07-06T00:00:00,804.45,804.55,789.0,795.55,3316923,JSWSTEEL,11723
374,2023-07-07T00:00:00,796.0,801.9,784.4,788.4,2547821,JSWSTEEL,11723
375,2023-07-10T00:00:00,789.0,813.8,787.75,810.6,4777540,JSWSTEEL,11723
376,2023-07-11T00:00:00,815.55,815.7,793.3,797.4,3085989,JSWSTEEL,11723
377,2023-07-12T00:00:00,804.5,814.8,788.65,805.7,25929716,JSWSTEEL,11723
378,2023-07-13T00:00:00,810.7,814.2,796.8,802.15,3049961,JSWSTEEL,11723
379,2023-07-14T00:00:00,807.9,807.9,792.1,804.85,2011903,JSWSTEEL,11723
380,2023-07-17T00:00:00,805.65,812.0,797.0,798.15,1769593,JSWSTEEL,11723
381,2023-07-18T00:00:00,799.8,801.0,788.5,790.9,1527919,JSWSTEEL,11723
382,2023-07-19T00:00:00,796.0,797.85,789.05,791.9,1563134,JSWSTEEL,11723
383,2023-07-20T00:00:00,795.0,801.45,785.75,799.05,1780010,JSWSTEEL,11723
384,2023-07-21T00:00:00,798.0,823.35,782.6,786.45,8469798,JSWSTEEL,11723
385,2023-07-24T00:00:00,789.0,789.0,773.2,775.65,2710762,JSWSTEEL,11723
386,2023-07-25T00:00:00,778.0,805.5,777.0,800.55,4850069,JSWSTEEL,11723
387,2023-07-26T00:00:00,807.45,809.0,800.1,805.45,3062011,JSWSTEEL,11723
388,2023-07-27T00:00:00,806.0,814.5,791.0,793.75,2865447,JSWSTEEL,11723
389,2023-07-28T00:00:00,795.0,806.0,786.0,804.15,2111325,JSWSTEEL,11723
390,2023-07-31T00:00:00,806.2,821.2,806.2,816.75,4226070,JSWSTEEL,11723
391,2023-08-01T00:00:00,823.0,825.0,816.95,820.9,2406158,JSWSTEEL,11723
392,2023-08-02T00:00:00,817.0,817.85,798.35,804.25,1975596,JSWSTEEL,11723
393,2023-08-03T00:00:00,804.25,809.0,794.2,804.45,1829238,JSWSTEEL,11723
394,2023-08-04T00:00:00,808.0,814.8,802.8,805.95,1275614,JSWSTEEL,11723
395,2023-08-07T00:00:00,808.0,816.6,803.55,813.05,1422051,JSWSTEEL,11723
396,2023-08-08T00:00:00,815.05,816.5,799.5,801.3,933777,JSWSTEEL,11723
397,2023-08-09T00:00:00,801.7,828.9,801.35,823.45,3133311,JSWSTEEL,11723
398,2023-08-10T00:00:00,825.0,835.0,819.25,831.5,6313077,JSWSTEEL,11723
399,2023-08-11T00:00:00,830.0,831.35,815.6,820.65,3239511,JSWSTEEL,11723
400,2023-08-14T00:00:00,815.0,815.0,793.55,799.45,1866848,JSWSTEEL,11723
401,2023-08-16T00:00:00,803.7,803.7,789.0,795.3,1317570,JSWSTEEL,11723
402,2023-08-17T00:00:00,794.85,796.65,783.6,789.75,1434401,JSWSTEEL,11723
403,2023-08-18T00:00:00,789.9,793.9,783.3,787.1,1546387,JSWSTEEL,11723
404,2023-08-21T00:00:00,793.0,797.6,787.8,794.75,1033216,JSWSTEEL,11723
405,2023-08-22T00:00:00,799.9,799.95,792.3,795.2,823108,JSWSTEEL,11723
